rank,company,revenue,profit,num. of employees,sector,city,state,Website
161,Danaher,20521.2,3008.2,60000,Health Care,Washington,DC,https://www.danaher.com
162,Whirlpool,20419,1184,77000,Industrials,Benton Harbor,MI,https://www.whirlpoolcorp.com
163,AECOM,20173.3,-261.1,86000,Engineering & Construction,Los Angeles,CA,https://www.aecom.com
164,Netflix,20156.4,1866.9,8600,Media,Los Gatos,CA,https://www.netflix.com
165,Kohl&#8217;s,19974,691,79500,Retailing,Menomonee Falls,WI,https://www.kohls.com
166,Lear,19810.3,753.6,164100,Motor Vehicles & Parts,Southfield,MI,https://www.lear.com
167,Altria Group,19796,-1293,7300,"Food, Beverages & Tobacco",Richmond,VA,https://www.altria.com
168,Performance Food Group,19743.5,166.8,18000,Wholesalers,Richmond,VA,https://www.pfgc.com
169,Avnet,19518.6,176.3,15500,Wholesalers,Phoenix,AZ,https://www.avnet.com
170,Synchrony Financial,19461,3747,16500,Financials,Stamford,CT,https://www.synchronyfinancial.com
171,Genuine Parts,19392.3,621.1,55000,Wholesalers,Atlanta,GA,https://www.genpt.com
172,NextEra Energy,19204,3769,14800,Energy,Juno Beach,FL,https://www.nexteraenergy.com
173,CarMax,19146,842.4,25946,Retailing,Richmond,VA,https://www.carmax.com
174,Tenet Healthcare,18479,-232,101104,Health Care,Dallas,TX,https://www.tenethealth.com
175,Kimberly-Clark,18450,2157,40000,Household Products,Irving,TX,https://www.kimberly-clark.com
176,Emerson Electric,18372,2306,88000,Industrials,St. Louis,MO,https://www.emerson.com
177,WestRock,18289,862.9,51100,Materials,Atlanta,GA,https://www.westrock.com
178,CDW,18032.4,736.8,9900,Technology,Lincolnshire,IL,https://www.cdw.com
179,Jones Lang LaSalle (JLL),17983.2,535.3,93400,Financials,Chicago,IL,https://www.us.jll.com
180,Sherwin-Williams,17900.8,1541.3,61111,Chemicals,Cleveland,OH,https://www.sherwin-williams.com
181,Fluor,17817.2,-1305,53349,Engineering & Construction,Irving,TX,https://www.fluor.com
182,PayPal Holdings,17772,2459,23200,Business Services,San Jose,CA,https://www.paypal.com
183,D.R. Horton,17592.9,1618.5,8916,Engineering & Construction,Arlington,TX,https://www.drhorton.com
184,HollyFrontier,17486.6,772.4,4074,Energy,Dallas,TX,https://www.hollyfrontier.com
185,Tenneco,17450,-334,78000,Motor Vehicles & Parts,Lake Forest,IL,https://www.tenneco.com
186,EOG Resources,17380,2734.9,2900,Energy,Houston,TX,https://www.eogresources.com
187,BD,17290,1233,70093,Health Care,Franklin Lakes,NJ,https://www.bd.com
188,Lincoln National,17258,886,11357,Financials,Radnor,PA,https://www.lfg.com
189,PG&E,17129,-7656,23000,Energy,San Francisco,CA,https://www.pgecorp.com
190,Salesforce,17098,126,49000,Technology,San Francisco,CA,https://www.salesforce.com
191,Mastercard,16883,8118,18600,Business Services,Purchase,NY,https://www.mastercard.com
192,General Mills,16865.2,1752.7,40000,"Food, Beverages & Tobacco",Minneapolis,MN,https://www.generalmills.com
193,Molina Healthcare,16829,737,10000,Health Care,Long Beach,CA,https://www.molinahealthcare.com
194,Cognizant Technology Solutions,16783,1842,292500,Technology,Teaneck,NJ,https://www.cognizant.com
195,Marsh & McLennan,16652,1742,76000,Financials,New York,NY,https://www.mmc.com
196,XPO Logistics,16648,419,100000,Transportation,Greenwich,CT,https://www.xpo.com
197,Dominion Energy,16572,1358,19100,Energy,Richmond,VA,https://www.dominionenergy.com
198,Western Digital,16569,-754,61800,Technology,San Jose,CA,https://www.westerndigital.com
199,Gap,16383,351,129000,Retailing,San Francisco,CA,https://www.gapinc.com
200,Aramark,16227.3,448.5,233400,Business Services,Philadelphia,PA,https://www.aramark.com
201,Principal Financial,16222.1,1394.2,17601,Financials,Des Moines,IA,https://www.principal.com
202,Ross Stores,16039.1,1660.9,92500,Retailing,Dublin,CA,https://www.rossstores.com
203,Colgate-Palmolive,15693,2367,34300,Household Products,New York,NY,https://www.colgatepalmolive.com
